Timestamp,CPU_Perc,Mem_Usage
1780075022000,0.68%,67.84MiB / 7.563GiB
1780075024000,0.50%,68.34MiB / 7.563GiB
1780075026000,0.70%,67.56MiB / 7.563GiB
1780075029000,0.25%,67.95MiB / 7.563GiB
1780075032000,0.72%,68.32MiB / 7.563GiB
1780075034000,0.46%,67.82MiB / 7.563GiB
1780075036000,0.33%,68.73MiB / 7.563GiB
1780075038000,0.32%,67.71MiB / 7.563GiB
1780075041000,0.30%,68.01MiB / 7.563GiB
1780075043000,0.88%,67.85MiB / 7.563GiB
1780075045000,0.24%,67.77MiB / 7.563GiB
1780075047000,0.51%,68.25MiB / 7.563GiB
1780075050000,0.54%,67.82MiB / 7.563GiB
1780075052000,0.75%,68.54MiB / 7.563GiB
1780075054000,0.51%,68.63MiB / 7.563GiB
1780075056000,0.47%,68.29MiB / 7.563GiB
1780075058000,0.31%,68.21MiB / 7.563GiB
1780075061000,9.76%,68.05MiB / 7.563GiB
1780075063000,0.20%,68.29MiB / 7.563GiB
1780075065000,0.30%,67.83MiB / 7.563GiB
1780075067000,0.67%,68.05MiB / 7.563GiB
1780075070000,0.79%,67.58MiB / 7.563GiB
1780075072000,0.47%,67.81MiB / 7.563GiB
1780075074000,0.50%,68.2MiB / 7.563GiB
1780075076000,0.78%,67.67MiB / 7.563GiB
1780075078000,0.40%,68.05MiB / 7.563GiB
1780075081000,0.56%,68.36MiB / 7.563GiB
1780075083000,0.24%,67.82MiB / 7.563GiB
1780075086000,0.48%,68.13MiB / 7.563GiB
1780075088000,0.81%,68.31MiB / 7.563GiB
1780075091000,0.82%,68.32MiB / 7.563GiB
1780075093000,0.55%,68.44MiB / 7.563GiB
1780075095000,0.33%,67.8MiB / 7.563GiB
1780075097000,0.55%,68.07MiB / 7.563GiB
1780075099000,0.86%,67.75MiB / 7.563GiB
1780075102000,0.44%,68.44MiB / 7.563GiB
1780075104000,0.47%,68.4MiB / 7.563GiB
1780075106000,0.63%,67.78MiB / 7.563GiB
1780075108000,0.43%,68.38MiB / 7.563GiB
1780075111000,0.37%,67.89MiB / 7.563GiB
1780075113000,0.31%,68.69MiB / 7.563GiB
1780075115000,0.65%,68.52MiB / 7.563GiB
1780075117000,0.63%,67.93MiB / 7.563GiB
1780075120000,0.91%,68.2MiB / 7.563GiB
1780075122000,0.61%,68.23MiB / 7.563GiB
1780075124000,0.55%,68MiB / 7.563GiB
1780075126000,0.39%,68.48MiB / 7.563GiB
1780075128000,0.24%,68.07MiB / 7.563GiB
1780075131000,0.24%,68.21MiB / 7.563GiB
1780075133000,0.78%,67.75MiB / 7.563GiB
1780075135000,0.23%,67.96MiB / 7.563GiB
1780075138000,0.44%,68.42MiB / 7.563GiB
1780075141000,0.70%,67.77MiB / 7.563GiB
1780075143000,1.14%,68.07MiB / 7.563GiB
1780075145000,0.73%,68.4MiB / 7.563GiB
1780075147000,0.56%,67.68MiB / 7.563GiB
1780075149000,0.21%,68.07MiB / 7.563GiB
1780075152000,13.60%,67.64MiB / 7.563GiB
1780075154000,0.49%,68.23MiB / 7.563GiB
1780075156000,0.35%,68.48MiB / 7.563GiB
1780075158000,0.50%,67.86MiB / 7.563GiB
1780075161000,0.43%,68.16MiB / 7.563GiB
1780075163000,0.93%,68.43MiB / 7.563GiB
1780075165000,0.33%,68.44MiB / 7.563GiB
1780075167000,1.39%,68.63MiB / 7.563GiB
1780075170000,0.68%,67.84MiB / 7.563GiB
1780075172000,0.61%,68.14MiB / 7.563GiB
1780075174000,0.50%,68.65MiB / 7.563GiB
1780075176000,0.71%,68.04MiB / 7.563GiB
1780075178000,0.38%,68.43MiB / 7.563GiB
1780075181000,10.85%,69.36MiB / 7.563GiB
1780075183000,0.27%,68.08MiB / 7.563GiB
1780075186000,0.32%,68.36MiB / 7.563GiB
1780075188000,0.41%,67.61MiB / 7.563GiB
1780075191000,0.64%,67.94MiB / 7.563GiB
1780075193000,0.48%,68.16MiB / 7.563GiB
1780075195000,0.47%,67.7MiB / 7.563GiB
1780075197000,0.83%,68MiB / 7.563GiB
1780075199000,0.41%,67.59MiB / 7.563GiB
1780075202000,0.45%,68.07MiB / 7.563GiB
1780075204000,0.54%,68.38MiB / 7.563GiB
1780075206000,0.56%,67.73MiB / 7.563GiB
1780075208000,0.33%,68.53MiB / 7.563GiB
1780075211000,0.56%,67.87MiB / 7.563GiB
1780075213000,0.30%,68.27MiB / 7.563GiB
1780075215000,0.35%,68.39MiB / 7.563GiB
1780075217000,0.34%,68.13MiB / 7.563GiB
1780075220000,0.53%,68.44MiB / 7.563GiB
1780075222000,0.53%,67.9MiB / 7.563GiB
1780075224000,0.43%,67.96MiB / 7.563GiB
1780075226000,0.62%,68.27MiB / 7.563GiB
1780075228000,0.42%,68.48MiB / 7.563GiB
1780075231000,0.23%,68.26MiB / 7.563GiB
1780075233000,0.32%,68.35MiB / 7.563GiB
